AUCTION_INFO;RESOURCE_TYPE;name_ru;block_n;ring_n;AREA_KM;n_point;gsk2011_b_deg;gsk2011_b_min;gsk2011_b_sec;gsk2011_l_deg;gsk2011_l_min;gsk2011_l_sec;pulk42_b_deg;pulk42_b_min;pulk42_b_sec;pulk42_l_deg;pulk42_l_min;pulk42_l_sec;comments;RESOURCES;EXPERT_PROTOCOL;USAGE_TYPE;LEND_TYPE;AUCTION_DATE
Волгоградская обл. 16.01.2023;газ, конденсат;Лободинский (месторождения: часть Лободинского (НФ) Быковский район;2;1;38.48;5;49;26;23.224;45;20;11.761;49;26;22.996;45;20;17.000;;газ С1 - 3,599 млрд.м3, конденсат С1- 0,506 млн.т;по данным Госбаланса на 01.01.2022;разведка и добыча;аукцион;2 кв. 2023г. Югнедра
Волгоградская обл. 16.01.2023;газ, конденсат;Лободинский (месторождения: часть Лободинского (НФ) Быковский район;2;1;38.48;6;49;25;44.225;45;21;54.764;49;25;43.996;45;21;59.996;;газ С1 - 3,599 млрд.м3, конденсат С1- 0,506 млн.т;по данным Госбаланса на 01.01.2022;разведка и добыча;аукцион;2 кв. 2023г. Югнедра
Волгоградская обл. 16.01.2023;газ, конденсат;Лободинский (месторождения: часть Лободинского (НФ) Быковский район;2;1;38.48;7;49;25;10.225;45;23;18.767;49;25;09.995;45;23;24.003;;газ С1 - 3,599 млрд.м3, конденсат С1- 0,506 млн.т;по данным Госбаланса на 01.01.2022;разведка и добыча;аукцион;2 кв. 2023г. Югнедра
Красноярский край 16.01.2023;нефть, газ;Таначинский (подготовленная структура: часть Южно-Моктаконской (НФ). Туруханский район;3;1;2124.2;1;63;20;3.003;91;10;58.626;63;20;00;91;11;00;;нефть (извл.) D0 - 28,9 млн. т. Dл – 2,0 млн. т. Газ D0 – 15,9 млрд.м3 Dл – 14,0 млрд. М3;по данным Госбаланса на 01.01.2022. По данным ФГБУ ВНИГНИ на основании количественной оценки ресурсов УВС России (по состоянию на 01.01.2017);геологическое изучение, разведка и добыча;аукцион;2 кв. 2023г. Центрсибнедра
Красноярский край 16.01.2023;нефть, газ;Таначинский (подготовленная структура: часть Южно-Моктаконской (НФ). Туруханский район;3;1;2124.2;2;63;20;2.993;90;37;58.528;63;20;00;90;38;00;;нефть (извл.) D0 - 28,9 млн. т. Dл – 2,0 млн. т. Газ D0 – 15,9 млрд.м3 Dл – 14,0 млрд. М3;по данным Госбаланса на 01.01.2022. По данным ФГБУ ВНИГНИ на основании количественной оценки ресурсов УВС России (по состоянию на 01.01.2017);геологическое изучение, разведка и добыча;аукцион;2 кв. 2023г. Центрсибнедра
Красноярский край 16.01.2023;нефть, газ;Таначинский (подготовленная структура: часть Южно-Моктаконской (НФ). Туруханский район;3;1;2124.2;3;64;02;3.045;90;37;58.467;64;02;00;90;38;00;;нефть (извл.) D0 - 28,9 млн. т. Dл – 2,0 млн. т. Газ D0 – 15,9 млрд.м3 Dл – 14,0 млрд. М3;по данным Госбаланса на 01.01.2022. По данным ФГБУ ВНИГНИ на основании количественной оценки ресурсов УВС России (по состоянию на 01.01.2017);геологическое изучение, разведка и добыча;аукцион;2 кв. 2023г. Центрсибнедра
Красноярский край 16.01.2023;нефть, газ;Таначинский (подготовленная структура: часть Южно-Моктаконской (НФ). Туруханский район;3;1;2124.2;4;64;02;3.054;91;10;58.567;64;02;00;91;11;00;;нефть (извл.) D0 - 28,9 млн. т. Dл – 2,0 млн. т. Газ D0 – 15,9 млрд.м3 Dл – 14,0 млрд. М3;по данным Госбаланса на 01.01.2022. По данным ФГБУ ВНИГНИ на основании количественной оценки ресурсов УВС России (по состоянию на 01.01.2017);геологическое изучение, разведка и добыча;аукцион;2 кв. 2023г. Центрсибнедра
Красноярский край 16.01.2023;нефть, газ;Таначинский (подготовленная структура: часть Южно-Моктаконской (НФ). Туруханский район;3;1;2124.2;5;63;50;3.039;91;10;58.584;63;50;00;91;11;00;;нефть (извл.) D0 - 28,9 млн. т. Dл – 2,0 млн. т. Газ D0 – 15,9 млрд.м3 Dл – 14,0 млрд. М3;по данным Госбаланса на 01.01.2022. По данным ФГБУ ВНИГНИ на основании количественной оценки ресурсов УВС России (по состоянию на 01.01.2017);геологическое изучение, разведка и добыча;аукцион;2 кв. 2023г. Центрсибнедра
Красноярский край 16.01.2023;нефть, газ;Пайтурминский. Таймырский Долгано-Ненецкий муниципальный район;4;1;4490.9;1;72;02;25.66;95;01;38.574;72;02;22;95;01;40;;Нефть: D1 - 20,0 млн.т, D2 - 6,9 млн.т. Газ: D1 - 25,0 млрд.м3, D2 - 37,9 млрд.м3;по данным ФГБУ ВНИГНИ на основании количественной оценки ресурсов УВС России (по состоянию на 01.01.2017);геологическое изучение, разведка и добыча;аукцион;2 кв. 2023г. Центрсибнедра
Красноярский край 16.01.2023;нефть, газ;Пайтурминский. Таймырский Долгано-Ненецкий муниципальный район;4;1;4490.9;2;72;23;11.697;96;20;22.881;72;23;08;96;20;24;;Нефть: D1 - 20,0 млн.т, D2 - 6,9 млн.т. Газ: D1 - 25,0 млрд.м3, D2 - 37,9 млрд.м3;по данным ФГБУ ВНИГНИ на основании количественной оценки ресурсов УВС России (по состоянию на 01.01.2017);геологическое изучение, разведка и добыча;аукцион;2 кв. 2023г. Центрсибнедра
Красноярский край 16.01.2023;нефть, газ;Пайтурминский. Таймырский Долгано-Ненецкий муниципальный район;4;1;4490.9;3;71;50;50.673;97;30;42.243;71;50;47;97;30;43;;Нефть: D1 - 20,0 млн.т, D2 - 6,9 млн.т. Газ: D1 - 25,0 млрд.м3, D2 - 37,9 млрд.м3;по данным ФГБУ ВНИГНИ на основании количественной оценки ресурсов УВС России (по состоянию на 01.01.2017);геологическое изучение, разведка и добыча;аукцион;2 кв. 2023г. Центрсибнедра
Красноярский край 16.01.2023;нефть, газ;Пайтурминский. Таймырский Долгано-Ненецкий муниципальный район;4;1;4490.9;4;71;30;44.632;95;32;28.77;71;30;41;95;32;30;;Нефть: D1 - 20,0 млн.т, D2 - 6,9 млн.т. Газ: D1 - 25,0 млрд.м3, D2 - 37,9 млрд.м3;по данным ФГБУ ВНИГНИ на основании количественной оценки ресурсов УВС России (по состоянию на 01.01.2017);геологическое изучение, разведка и добыча;аукцион;2 кв. 2023г. Центрсибнедра
Красноярский край 16.02.2023;нефть, газ;Луктахский. Таймырский Долгано-Ненецкий;5;1;2134;1;73;19;21.709;92;35;5.717;73;19;18;92;35;08;;Нефть: D2 - 1.5 млн. т. Газ: D2 - 15.0 млрд.м3;по данным ФГБУ «ВНИГНИ»  на основании количественной оценки УВС России (по состоянию на 01.01.2017);геологическое изучение, разведка и добыча;аукцион;4 кв. 2023г. Центрсибнедра
Красноярский край 16.02.2023;нефть, газ;Луктахский. Таймырский Долгано-Ненецкий;5;1;2134;2;73;19;21.738;94;41;37.308;73;19;18;94;41;39;;Нефть: D2 - 1.5 млн. т. Газ: D2 - 15.0 млрд.м4;по данным ФГБУ «ВНИГНИ»  на основании количественной оценки УВС России (по состоянию на 01.01.2017);геологическое изучение, разведка и добыча;аукцион;5 кв. 2023г. Центрсибнедра
Красноярский край 16.02.2023;нефть, газ;Луктахский. Таймырский Долгано-Ненецкий;5;1;2134;3;73;13;31.732;94;41;37.322;73;13;28;94;41;39;;Нефть: D2 - 1.5 млн. т. Газ: D2 - 15.0 млрд.м5;по данным ФГБУ «ВНИГНИ»  на основании количественной оценки УВС России (по состоянию на 01.01.2017);геологическое изучение, разведка и добыча;аукцион;6 кв. 2023г. Центрсибнедра
Красноярский край 16.02.2023;нефть, газ;Луктахский. Таймырский Долгано-Ненецкий;5;1;2134;4;73;13;31.726;94;11;37.183;73;13;28;94;11;39;;Нефть: D2 - 1.5 млн. т. Газ: D2 - 15.0 млрд.м6;по данным ФГБУ «ВНИГНИ»  на основании количественной оценки УВС России (по состоянию на 01.01.2017);геологическое изучение, разведка и добыча;аукцион;7 кв. 2023г. Центрсибнедра
Красноярский край 16.02.2023;нефть, газ;Луктахский. Таймырский Долгано-Ненецкий;5;1;2134;5;73;09;43.722;94;11;37.193;73;09;40;94;11;39;;Нефть: D2 - 1.5 млн. т. Газ: D2 - 15.0 млрд.м7;по данным ФГБУ «ВНИГНИ»  на основании количественной оценки УВС России (по состоянию на 01.01.2017);геологическое изучение, разведка и добыча;аукцион;8 кв. 2023г. Центрсибнедра
Красноярский край 16.02.2023;нефть, газ;Луктахский. Таймырский Долгано-Ненецкий;5;1;2134;6;73;09;43.712;93;31;30.007;73;09;40;93;31;32;;Нефть: D2 - 1.5 млн. т. Газ: D2 - 15.0 млрд.м8;по данным ФГБУ «ВНИГНИ»  на основании количественной оценки УВС России (по состоянию на 01.01.2017);геологическое изучение, разведка и добыча;аукцион;9 кв. 2023г. Центрсибнедра
Красноярский край 16.02.2023;нефть, газ;Луктахский. Таймырский Долгано-Ненецкий;5;1;2134;7;72;51;50.694;93;31;30.056;72;51;47;93;31;32;;Нефть: D2 - 1.5 млн. т. Газ: D2 - 15.0 млрд.м9;по данным ФГБУ «ВНИГНИ»  на основании количественной оценки УВС России (по состоянию на 01.01.2017);геологическое изучение, разведка и добыча;аукцион;10 кв. 2023г. Центрсибнедра
Красноярский край 16.02.2023;нефть, газ;Луктахский. Таймырский Долгано-Ненецкий;5;1;2134;8;72;51;50.68;92;35;05.800;72;51;47;92;35;08;;Нефть: D2 - 1.5 млн. т. Газ: D2 - 15.0 млрд.м10;по данным ФГБУ «ВНИГНИ»  на основании количественной оценки УВС России (по состоянию на 01.01.2017);геологическое изучение, разведка и добыча;аукцион;11 кв. 2023г. Центрсибнедра
Красноярский край 16.02.2023;нефть, газ;Тарейский (подготовленная структура: Тарейская). Таймырский Долгано-Ненецкий;6;1;1441.9;1;72;59;10.611;88;19;32.622;72;59;07;88;19;36;;Газ: D₀ - 8.9 млрд.м3, D₁ - 7.0 млрд.м3, D2 - 13.0 млрд.м3. Нефть: D2 - 0.7 млн. Т;по данным Госбаланса на 01.01.2022. По данным ФГБУ «ВНИГНИ»  на основании количественной оценки УВС России (по состоянию на 01.01.2017);геологическое изучение, разведка и добыча;аукцион;4 кв. 2023г. Центрсибнедра
Красноярский край 16.02.2023;нефть, газ;Тарейский (подготовленная структура: Тарейская). Таймырский Долгано-Ненецкий;6;1;1441.9;2;73;14;20.644;89;10;44.793;73;14;17;89;10;48;;Газ: D₀ - 8.9 млрд.м3, D₁ - 7.0 млрд.м3, D2 - 13.0 млрд.м3. Нефть: D2 - 0.7 млн. Т;по данным Госбаланса на 01.01.2022. По данным ФГБУ «ВНИГНИ»  на основании количественной оценки УВС России (по состоянию на 01.01.2017);геологическое изучение, разведка и добыча;аукцион;4 кв. 2023г. Центрсибнедра
Красноярский край 16.02.2023;нефть, газ;Тарейский (подготовленная структура: Тарейская). Таймырский Долгано-Ненецкий;6;1;1441.9;3;73;05;27.645;89;42;16.971;73;05;24;89;42;20;;Газ: D₀ - 8.9 млрд.м3, D₁ - 7.0 млрд.м3, D2 - 13.0 млрд.м3. Нефть: D2 - 0.7 млн. Т;по данным Госбаланса на 01.01.2022. По данным ФГБУ «ВНИГНИ»  на основании количественной оценки УВС России (по состоянию на 01.01.2017);геологическое изучение, разведка и добыча;аукцион;4 кв. 2023г. Центрсибнедра
Красноярский край 16.02.2023;нефть, газ;Тарейский (подготовленная структура: Тарейская). Таймырский Долгано-Ненецкий;6;1;1441.9;4;72;59;58.633;89;24;39.912;72;59;55;89;24;43;;Газ: D₀ - 8.9 млрд.м3, D₁ - 7.0 млрд.м3, D2 - 13.0 млрд.м3. Нефть: D2 - 0.7 млн. Т;по данным Госбаланса на 01.01.2022. По данным ФГБУ «ВНИГНИ»  на основании количественной оценки УВС России (по состоянию на 01.01.2017);геологическое изучение, разведка и добыча;аукцион;4 кв. 2023г. Центрсибнедра
Красноярский край 16.02.2023;нефть, газ;Тарейский (подготовленная структура: Тарейская). Таймырский Долгано-Ненецкий;6;1;1441.9;5;72;51;43.634;89;54;14.076;72;51;40;89;54;17;;Газ: D₀ - 8.9 млрд.м3, D₁ - 7.0 млрд.м3, D2 - 13.0 млрд.м3. Нефть: D2 - 0.7 млн. Т;по данным Госбаланса на 01.01.2022. По данным ФГБУ «ВНИГНИ»  на основании количественной оценки УВС России (по состоянию на 01.01.2017);геологическое изучение, разведка и добыча;аукцион;4 кв. 2023г. Центрсибнедра
Красноярский край 16.02.2023;нефть, газ;Тарейский (подготовленная структура: Тарейская). Таймырский Долгано-Ненецкий;6;1;1441.9;6;72;45;45.622;89;35;30.013;72;45;42;89;35;33;;Газ: D₀ - 8.9 млрд.м3, D₁ - 7.0 млрд.м3, D2 - 13.0 млрд.м3. Нефть: D2 - 0.7 млн. Т;по данным Госбаланса на 01.01.2022. По данным ФГБУ «ВНИГНИ»  на основании количественной оценки УВС России (по состоянию на 01.01.2017);геологическое изучение, разведка и добыча;аукцион;4 кв. 2023г. Центрсибнедра
Красноярский край 16.02.2023;нефть, газ;Тарейский (подготовленная структура: Тарейская). Таймырский Долгано-Ненецкий;6;1;1441.9;7;72;43;23.617;89;28;3.989;72;43;20;89;28;07;;Газ: D₀ - 8.9 млрд.м3, D₁ - 7.0 млрд.м3, D2 - 13.0 млрд.м3. Нефть: D2 - 0.7 млн. Т;по данным Госбаланса на 01.01.2022. По данным ФГБУ «ВНИГНИ»  на основании количественной оценки УВС России (по состоянию на 01.01.2017);геологическое изучение, разведка и добыча;аукцион;4 кв. 2023г. Центрсибнедра
Красноярский край 16.02.2023;нефть, газ;Тарейский (подготовленная структура: Тарейская). Таймырский Долгано-Ненецкий;6;1;1441.9;8;72;51;31.616;88;58;26.827;72;51;28;88;58;30;;Газ: D₀ - 8.9 млрд.м3, D₁ - 7.0 млрд.м3, D2 - 13.0 млрд.м3. Нефть: D2 - 0.7 млн. Т;по данным Госбаланса на 01.01.2022. По данным ФГБУ «ВНИГНИ»  на основании количественной оценки УВС России (по состоянию на 01.01.2017);геологическое изучение, разведка и добыча;аукцион;4 кв. 2023г. Центрсибнедра
Красноярский край 16.02.2023;нефть, газ;Тарейский (подготовленная структура: Тарейская). Таймырский Долгано-Ненецкий;6;1;1441.9;9;72;49;55.612;88;53;26.811;72;49;52;88;53;30;;Газ: D₀ - 8.9 млрд.м3, D₁ - 7.0 млрд.м3, D2 - 13.0 млрд.м3. Нефть: D2 - 0.7 млн. Т;по данным Госбаланса на 01.01.2022. По данным ФГБУ «ВНИГНИ»  на основании количественной оценки УВС России (по состоянию на 01.01.2017);геологическое изучение, разведка и добыча;аукцион;4 кв. 2023г. Центрсибнедра
Красноярский край 16.02.2023;нефть, газ;Тарейский (подготовленная структура: Тарейская). Таймырский Долгано-Ненецкий;6;1;1441.9;10;72;52;31.611;88;41;50.749;72;52;28;88;41;54;;Газ: D₀ - 8.9 млрд.м3, D₁ - 7.0 млрд.м3, D2 - 13.0 млрд.м3. Нефть: D2 - 0.7 млн. Т;по данным Госбаланса на 01.01.2022. По данным ФГБУ «ВНИГНИ»  на основании количественной оценки УВС России (по состоянию на 01.01.2017);геологическое изучение, разведка и добыча;аукцион;4 кв. 2023г. Центрсибнедра
Красноярский край 16.02.2023;нефть, газ;Тарейский (подготовленная структура: Тарейская). Таймырский Долгано-Ненецкий;6;1;1441.9;11;72;54;7.612;88;38;9.726;72;54;04;88;38;13;;Газ: D₀ - 8.9 млрд.м3, D₁ - 7.0 млрд.м3, D2 - 13.0 млрд.м3. Нефть: D2 - 0.7 млн. Т;по данным Госбаланса на 01.01.2022. По данным ФГБУ «ВНИГНИ»  на основании количественной оценки УВС России (по состоянию на 01.01.2017);геологическое изучение, разведка и добыча;аукцион;4 кв. 2023г. Центрсибнедра
Оренбургская обл.11.11.2022;нефть;Алпановский. Курманаевский район;7;1;197.6;1;52;27;46.854;51;32;50.126;52;27;46.1;51;32;55.3;из контура участка исключается горный отвод лицензии ОРБ 05900 ВЭ, совпадающий с зонами санитарной охраны, ограниченный по глубине 140 м;Нефть: Dл - 0,7 млн.т, D1 - 2,0 млн.т;по данным ФГБУ ВНИГНИ на основании количественной оценки УВС России (по состоянию на 01.01.2017г.);геологическое изучение, разведка и добыча;Аукцион;2 кв. 2023 года. Приволжскнедра
Оренбургская обл.11.11.2022;нефть;Алпановский. Курманаевский район;7;1;197.6;2;52;27;47.755;51;33;30.827;52;27;47;51;33;36;из контура участка исключается горный отвод лицензии ОРБ 05900 ВЭ, совпадающий с зонами санитарной охраны, ограниченный по глубине 140 м;Нефть: Dл - 0,7 млн.т, D1 - 2,0 млн.т;по данным ФГБУ ВНИГНИ на основании количественной оценки УВС России (по состоянию на 01.01.2017г.);геологическое изучение, разведка и добыча;Аукцион;2 кв. 2023 года. Приволжскнедра
Оренбургская обл.11.11.2022;нефть;Алпановский. Курманаевский район;7;1;197.6;3;52;21;37.754;51;40;53.851;52;21;37;51;40;59;из контура участка исключается горный отвод лицензии ОРБ 05900 ВЭ, совпадающий с зонами санитарной охраны, ограниченный по глубине 140 м;Нефть: Dл - 0,7 млн.т, D1 - 2,0 млн.т;по данным ФГБУ ВНИГНИ на основании количественной оценки УВС России (по состоянию на 01.01.2017г.);геологическое изучение, разведка и добыча;Аукцион;2 кв. 2023 года. Приволжскнедра
Оренбургская обл.11.11.2022;нефть;Алпановский. Курманаевский район;7;1;197.6;4;52;21;37.755;51;42;5.853;52;21;37;51;42;11;из контура участка исключается горный отвод лицензии ОРБ 05900 ВЭ, совпадающий с зонами санитарной охраны, ограниченный по глубине 140 м;Нефть: Dл - 0,7 млн.т, D1 - 2,0 млн.т;по данным ФГБУ ВНИГНИ на основании количественной оценки УВС России (по состоянию на 01.01.2017г.);геологическое изучение, разведка и добыча;Аукцион;2 кв. 2023 года. Приволжскнедра
Оренбургская обл.11.11.2022;нефть;Алпановский. Курманаевский район;7;1;197.6;5;52;16;32.749;51;41;1.863;52;16;32;51;41;07;из контура участка исключается горный отвод лицензии ОРБ 05900 ВЭ, совпадающий с зонами санитарной охраны, ограниченный по глубине 140 м;Нефть: Dл - 0,7 млн.т, D1 - 2,0 млн.т;по данным ФГБУ ВНИГНИ на основании количественной оценки УВС России (по состоянию на 01.01.2017г.);геологическое изучение, разведка и добыча;Аукцион;2 кв. 2023 года. Приволжскнедра
Оренбургская обл.11.11.2022;нефть;Алпановский. Курманаевский район;7;1;197.6;6;52;18;0.745;51;34;54.851;52;18;00;51;35;00;из контура участка исключается горный отвод лицензии ОРБ 05900 ВЭ, совпадающий с зонами санитарной охраны, ограниченный по глубине 140 м;Нефть: Dл - 0,7 млн.т, D1 - 2,0 млн.т;по данным ФГБУ ВНИГНИ на основании количественной оценки УВС России (по состоянию на 01.01.2017г.);геологическое изучение, разведка и добыча;Аукцион;2 кв. 2023 года. Приволжскнедра
Оренбургская обл.11.11.2022;нефть;Алпановский. Курманаевский район;7;1;197.6;7;52;18;0.738;51;26;51.840;52;18;00;51;26;57;из контура участка исключается горный отвод лицензии ОРБ 05900 ВЭ, совпадающий с зонами санитарной охраны, ограниченный по глубине 140 м;Нефть: Dл - 0,7 млн.т, D1 - 2,0 млн.т;по данным ФГБУ ВНИГНИ на основании количественной оценки УВС России (по состоянию на 01.01.2017г.);геологическое изучение, разведка и добыча;Аукцион;2 кв. 2023 года. Приволжскнедра
Оренбургская обл.11.11.2022;нефть;Алпановский. Курманаевский район;7;1;197.6;8;52;23;22.748;51;31;9.834;52;23;22;51;31;15;из контура участка исключается горный отвод лицензии ОРБ 05900 ВЭ, совпадающий с зонами санитарной охраны, ограниченный по глубине 140 м;Нефть: Dл - 0,7 млн.т, D1 - 2,0 млн.т;по данным ФГБУ ВНИГНИ на основании количественной оценки УВС России (по состоянию на 01.01.2017г.);геологическое изучение, разведка и добыча;Аукцион;2 кв. 2023 года. Приволжскнедра
Оренбургская обл.11.11.2022;нефть;Алпановский. Курманаевский район;7;1;197.6;9;52;23;34.745;51;27;55.829;52;23;34;51;28;01;из контура участка исключается горный отвод лицензии ОРБ 05900 ВЭ, совпадающий с зонами санитарной охраны, ограниченный по глубине 140 м;Нефть: Dл - 0,7 млн.т, D1 - 2,0 млн.т;по данным ФГБУ ВНИГНИ на основании количественной оценки УВС России (по состоянию на 01.01.2017г.);геологическое изучение, разведка и добыча;Аукцион;2 кв. 2023 года. Приволжскнедра
Оренбургская обл.11.11.2022;нефть;Алпановский. Курманаевский район;7;1;197.6;10;52;25;39.748;51;28;29.825;52;25;39;51;28;35;из контура участка исключается горный отвод лицензии ОРБ 05900 ВЭ, совпадающий с зонами санитарной охраны, ограниченный по глубине 140 м;Нефть: Dл - 0,7 млн.т, D1 - 2,0 млн.т;по данным ФГБУ ВНИГНИ на основании количественной оценки УВС России (по состоянию на 01.01.2017г.);геологическое изучение, разведка и добыча;Аукцион;2 кв. 2023 года. Приволжскнедра
Оренбургская обл.11.11.2022;нефть;Алпановский. Курманаевский район;7;1;197.6;11;52;25;39.752;51;32;59.831;52;25;39;51;33;5;из контура участка исключается горный отвод лицензии ОРБ 05900 ВЭ, совпадающий с зонами санитарной охраны, ограниченный по глубине 140 м;Нефть: Dл - 0,7 млн.т, D1 - 2,0 млн.т;по данным ФГБУ ВНИГНИ на основании количественной оценки УВС России (по состоянию на 01.01.2017г.);геологическое изучение, разведка и добыча;Аукцион;2 кв. 2023 года. Приволжскнедра
Оренбургская обл.11.11.2022;нефть;Алпановский. Курманаевский район;7;1;197.6;12;52;26;41.754;51;33;29.829;52;26;41;51;33;35;из контура участка исключается горный отвод лицензии ОРБ 05900 ВЭ, совпадающий с зонами санитарной охраны, ограниченный по глубине 140 м;Нефть: Dл - 0,7 млн.т, D1 - 2,0 млн.т;по данным ФГБУ ВНИГНИ на основании количественной оценки УВС России (по состоянию на 01.01.2017г.);геологическое изучение, разведка и добыча;Аукцион;2 кв. 2023 года. Приволжскнедра
Оренбургская обл.11.11.2022;нефть;Алпановский. Курманаевский район;7;2;197.6;1;52;23;22.133;51;36;48.821;52;23;21.38;51;36;53.98;из контура участка исключается горный отвод лицензии ОРБ 05900 ВЭ, совпадающий с зонами санитарной охраны, ограниченный по глубине 140 м;Нефть: Dл - 0,7 млн.т, D1 - 2,0 млн.т;по данным ФГБУ ВНИГНИ на основании количественной оценки УВС России (по состоянию на 01.01.2017г.);геологическое изучение, разведка и добыча;Аукцион;2 кв. 2023 года. Приволжскнедра
Оренбургская обл.11.11.2022;нефть;Алпановский. Курманаевский район;7;2;197.6;2;52;23;22.133;51;36;52.022;52;23;21.38;51;36;57.18;из контура участка исключается горный отвод лицензии ОРБ 05900 ВЭ, совпадающий с зонами санитарной охраны, ограниченный по глубине 140 м;Нефть: Dл - 0,7 млн.т, D1 - 2,0 млн.т;по данным ФГБУ ВНИГНИ на основании количественной оценки УВС России (по состоянию на 01.01.2017г.);геологическое изучение, разведка и добыча;Аукцион;2 кв. 2023 года. Приволжскнедра
